Metabolite,Compound.Class,Soil 1,Soil 2,Soil 3,Soil 4,Soil 5,Soil 6,Soil 7,Soil 8,Soil 9,Soil 10,Soil 11,Soil 12,Soil 13,Soil 14,Soil 15,Soil 16,Soil 21,Soil 22,Soil 23,Soil 24,Soil 25,Soil 26,Soil 27,Soil 28,Soil 37,Soil 38,Soil 39,Soil 40,Soil 41,Soil 42,Soil 43,Soil 44,Soil 49,Soil 50,Soil 51,Soil 52,Soil 53,Soil 54,Soil 55,Soil 56,Soil 57,Soil 58,Soil 59,Soil 60,Soil 61,Soil 62,Soil 63,Soil 64,Soil 69,Soil 70,Soil 71,Soil 72,Soil 73,Soil 74,Soil 75,Soil 76,Soil Pre r1,Soil Pre r2,Soil Pre r3,Soil Pre r4
,Temp,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,-10,-10,-10,-10,-10,-10,-10,-10,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-2,-2,-2,-2,-2,-2,-2,-2,Pre,Pre,Pre,Pre
,Cadd,0,0,0,0,0.4,0.4,0.4,0.4,0.2,0.2,0.2,0.2,2,2,2,2,0.4,0.4,0.4,0.4,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.2,0.2,0.2,0.2,0,0,0,0,0.4,0.4,0.4,0.4,0.2,0.2,0.2,0.2,2,2,2,2,0.4,0.4,0.4,0.4,0.2,0.2,0.2,0.2,Pre,Pre,Pre,Pre
 Uracil,Pyrimidine,3495398.048,3108263.848,3660099.195,2855456.372,2938371.749,4063816.872,3124239.963,4071171.131,238827.3495,4166909.848,3618086.609,3893579.902,154498.1828,4106705.827,196093.3397,223737.6677,4376638.666,3304280.968,3062582.667,3075234.218,3149944.626,2925163.549,2499759.981,2497039.157,3959493.868,3868994.562,4092552.024,4166581.915,4427266.902,4356732.722,4227298.08,3824336.771,1938116.422,4554500.056,836887.4902,3444686.973,4656550.145,4018108.402,3861833.782,2985755.642,5305363.517,4219160.145,3355572.566,4224073.767,3545968.791,3879907.73,2328159.795,1876882.441,4672773.712,3747445.519,4678429.125,3309401.828,4824356.174,3823253.875,4027438.5,3886370.263,3485291.093,3530136.167,3243949.491,3025313.002
"1,3-dihydroxyacetone",Sugar/Sugar alcohols,3533593.318,4115993.773,2567333.426,1982751.645,1255692.01,2461859.14,1564196.697,2437065.428,2728850.268,2073110.701,2498716.584,712374,1536215.891,2133314.256,2676840.161,2220246.97,4386162.297,5312917.816,546075,3724552.788,4442347.146,3115218.808,4693141.373,2907897.306,2695308.908,3635653.191,3019831.22,2401504.477,2934404.61,2555214.707,764863,2542391.957,1687138.555,4078668.564,679513.0025,3322173.068,2700403.459,4663857.856,3095456.088,1188649.835,3184895.91,4026581.289,2996877.051,2450522.82,2088785.812,1671888.909,1570796.461,1301295.241,1657411.969,2371940.345,1796567.107,1497430,2440132.42,2738825.768,2465505.94,2081712.997,552968.9403,594261.6932,601782.0374,567776.022
"2-butyne-1,4-diol ",Organic Compound,7549107.05,7301235.012,7804598.336,7786673.423,5438210.305,8928765.591,7745804.514,8099707.872,7071359.139,8800402.299,9133197.547,7425877.654,11549887.02,10274089.54,11933438.89,10772477.82,5864750.6,8624227.031,9083456.511,9450669.006,7078274.842,8411644.129,8185799.803,8007220.158,8003685.951,9180338.518,10400137.12,12483692.25,8046039.348,9493925.928,9103092.21,9007243.924,4657939.209,7402525.863,2903172.443,9296579.521,6320048.965,9876934.48,8693685.752,7040028.13,8127046.77,9733677.019,9525691.385,8881395.136,9183868.872,6935890.871,6638363.209,6286042.002,6245860.732,11737856.87,10065138.91,8944298.313,8679732.298,10071687.74,7237356.435,10752298.92,17109219.76,17985601.51,18292136.39,17509438.39
2-hydroxybutyric acid,Hydroxy Carboxylic acid,21074248.11,22369631.1,16965478.06,17595584.15,8889586.614,16983480.15,18560066.25,20240379.95,10936852.12,20223291.7,20644994.28,18213403.75,11676789.34,21770573.62,19408726.17,19109052.47,16293647.13,20528998.43,15958618.19,16172995.23,10184607.47,16741761.31,15327855.25,20271038.59,27262089.07,26197871.77,25565577.15,20919664.8,20974100.69,22787893.35,20426035.83,24080551.16,9802195.37,24457342.4,4971937.832,21275843.19,23457605.41,24319927.17,23379202.51,16291317.34,22071616.22,24101056.62,21607441.9,25061174.65,17208149.54,24985318.82,16421593.79,20459758.56,15498068.75,13531027.17,19666066.82,16245639.7,21911666.6,23905354.71,20767819.27,21361301.39,6140323.103,6411643.103,5958407.114,5966725.375
2-hydroxypyridine,Pyridine,2821435.173,1901603.72,2084093.319,1921085.152,2345912.545,2418612.679,831790.9484,2247185.21,2077117.119,1429869.496,2928182.286,2897535.138,3234677.213,3023973.675,656000.6208,2008341.229,2571705.882,2555391.725,3261451.723,1938504.036,2228844.246,1676037.12,2815897.121,2133293.536,445072.656,844928.2339,222191.8607,172803.5572,3241591.963,4192782.895,3451039,2395609.541,3568089.386,3332930.981,2183353.827,2965731,362771.4076,2816295.568,3179493.568,702159.8064,2997313.536,3555840.95,504067.2428,233941.6478,3907432.072,3303904.477,5534498.692,4447717.639,3182412.157,2873550.187,2353880.619,4076441.14,2429987.932,2921189.948,2439091.237,2245380.282,3032898.421,3114921.491,2880664.806,3269424.901
3-hydroxybutyric acid,Hydroxy Carboxylic acid,1374677.055,3252518.678,3037248,3141770,1375593.907,2561772.244,3143964,1919357.689,3647835,2337241,3893934.668,1744324.855,1782718,2330111.44,3685245.482,3515474.191,3450446.742,3983751.024,1467081.972,2265131.166,1475492.822,932629.1226,3049732,2099213,12433208.51,8791193.864,5954166.97,17016351.12,9817066.984,7360955.584,8440016.058,10510782.69,5289334.199,6687539.823,1045625.388,5853413.188,5492014.095,9205177.399,6856622.706,4353216.109,9993336.988,8785933.839,10721672.4,9784720.632,20054940.84,6030646.395,9936391.779,6201931.918,12276195.81,16923599.87,8004257.003,11706048.66,13542152.41,9561207.34,5412638.317,7414465.747,10026447.84,10747058.42,10759798.2,9859768.475
3-hydroxypropionic acid,Hydroxy Carboxylic acid,2075838,2552004,12553840.69,1903391.924,5551469.651,2719826.15,5328239,5235338.307,7941026.656,3988533,6448670.912,1018391.157,14320605.78,9039959.596,33576305.92,20966486.75,4037277.86,6793513.352,3623504.975,13988681.73,9591099.783,7483610.182,9901059.497,814085,2871325,4411368,6526293,1620260,7173079.901,4836724.227,3889596.676,3101463,3782567.798,4744790.997,3135570.179,1381946,2976614.193,3387458.432,2319097,2995165.451,7130804.288,4598455.987,6033138.125,3786965,1210820,1105592,949205.6845,402172.0413,4134457.951,5403119.95,4517726.702,1094862.534,9406209.88,10135687.77,9158377.568,10434716.83,16705025.65,15341431.1,13914548.15,15591458.81
4-aminobutyric acid (GABA),Amino acid,1955634.012,3616720.635,2634724.547,2763667.504,2764658.069,4377265.538,2598823.765,2503038.254,3636334.357,2604005.541,3063806.256,3123906.522,1312342.716,3700644.401,4756955.05,4911840.604,6082001.375,4039478.628,2628107.057,4186404.604,4758725.405,2910424.568,5415134.353,4404950.401,5799771.297,5126032.045,3891476.476,3527260.457,3225208.085,7064116.453,3235857.255,3386644.198,1111522.683,3472797.446,419242.7717,4365617.257,4614232.078,2027347.493,2730606.895,345446.5409,5085016.347,3236178.655,4109667.712,6347763.389,3569975.696,4362477.559,5792656.29,5815192.184,4722099.633,3934291.604,5469263.962,2737625.143,2479459.87,4927237.252,6049060.977,4692606.643,4584689.818,4080582.381,3943474.135,3661177.822
4-hydroxy-3-methoxybenzoic acid (isovanillic acid),Hydroxybenzoic acid,180760.8772,204091.9593,185622.4651,159773.0612,74097.76233,209054.5514,263184.3398,228557.1172,198245.4672,203886.4262,225335.597,177613.8058,175751.7273,291345.7203,265271.4038,282270.063,299064.7539,226486.9212,0,212608.5638,184320.1702,173477.0454,211287.1471,131249.3867,289998.6143,326100.5127,305625.9253,267890.2195,246624.3228,285461.406,181942.9979,232143.3978,76788.74658,257925.8413,16296.86089,254610.1065,239853.9266,377929.0363,255975.1289,111729.0387,276587.9065,271046.5505,205453.0441,213453.3212,281819.3923,149466.6388,118059.0502,186296.7066,425353.7453,205564.6185,266450.688,126354.0233,349105.4407,328173.6498,247124.3526,251459.8894,1270494.967,1228829.408,1181402.964,1035230.161
4-hydroxybenzoic acid (p-salicylic acid),Hydroxybenzoic acid,1475605.183,1179931.175,1146141.756,1111909.015,496570.8195,1102687.739,1135356.173,1276735.559,1347145.005,1011557.763,1280228.185,958641.7193,596931.2951,903328.9341,884904.9265,935305.3534,1482537.459,1323375.874,759351.1436,990240.9222,999205.6595,1004341.472,1154025.03,1145892.268,1561744.338,1083490.569,947488.8627,1202517.704,1335781.325,1022441.858,1051875.58,1149575.359,394321.0679,1222239.738,158324.1243,1029792.923,926625.5113,1127699.069,850756.6646,384240.6428,1299425.965,1042311.505,892893.4905,1278360.543,517328.9755,657039.7047,618488.2242,313172.8991,1180524.175,822717.6347,1134681.142,614433.628,1203583.293,1160664.922,900457.721,1020788.947,1295822.964,1288006.378,1280302.816,1208294.852
4-hydroxypyridine,Pyridine,1499089.774,1835630,1710429.102,1407326,1264208.134,1666532.194,1425088.84,2072326.77,1180603.536,1331367.413,1779959.802,1281678,3790706.201,2637108.336,1471820.384,1593536.543,1174960.078,1747668,560023.5604,1508873,2716777.965,2137846.48,1530622.227,1865658.373,930423.994,1645909,1598740,1132079.127,1086797.441,1242373.642,1341564,1355363.89,949459.1035,1502317.184,368809.6157,1520355.283,753235.8021,1396247,1688745.643,772515.969,962033.2833,3501714.822,1253506,1524520.157,1063971.861,477279.2288,929823.5312,748568.2839,1259568.679,2588413.278,1212732.959,1338689.305,1712062.423,1602700.516,1553791.398,1584989.581,3277410.666,1718050.446,1725476.979,1371224
6-hydroxynicotinic acid,Pyridine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146968.4362,133234.036,125151.9876,21450.30516,0,0,0,0,11189529.43,6702561.117,176121.4396,8033125.741,42908.86517,0,109083.4735,37936.89698,0,0,0,0,131487.9549,203248.6084,200295.2576,174585.6543
6-phosphogluconic acid,Sugar/Sugar alcohols,437623.9814,1294189.752,1245826.01,911500.4275,0,896080.0923,427294.9773,1103627.044,620025.8557,1004305.1,305283.4978,118126.3514,4337.694508,6144437.458,6255432.869,7562466.507,1624325.411,367925.718,141687.5039,1422709.951,1043070.961,470492.0473,1318114.265,111148.3132,15051578.16,15187660.75,13639597.41,17622578.45,8828939.175,14820154.39,9901431.546,8158587.306,0,1613065.879,0,1620091.659,15599051.91,12481790.61,433400.732,14046688.69,12424287.05,7978945.551,4975369.333,432121.9629,21098329.45,19642612.93,19198808,23359247.27,13139002.97,6839078.697,10748852,298564.6769,5380193.069,4062636.803,2273838.035,238055.98,560883.0403,393022.4766,457541.78,123414.0348
Allo-Inositol ,Sugar/Sugar alcohols,924463.6518,0,0,0,0,0,0,0,0,107815.0017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10575070.01,10641482.74,10726683.75,9710760.299
alpha-D-glucosamine phosphate,Sugar/Sugar alcohols,318783.7233,434380.8073,364683.4494,251922.3902,618195.4715,521672.6973,375949.9834,240667.2653,520376.3597,350545.3779,338601.7269,306298.0134,156196.2887,477078.8333,420647.7266,361468.8358,319059.4713,255971.7392,303991.3346,295749.2811,258655.3899,324663.8093,207766.2836,162166.9623,583319.6598,604153.5546,512893.0498,701262.3242,392538.6393,370728.7747,499799.8684,307938.0381,521224.92,328894.6231,47292.73957,201322.2515,445862.8815,404018.8148,332187.6393,464342.7846,493598.6111,381134.5241,620517.4012,397764.6701,9072691.906,9716321.148,5816608.726,12182495.21,507811.3332,292951.0139,461422.5065,219348.8585,962804.1421,294440.2128,362926.0144,578528.2154,2148510.212,2039862.509,1565180.147,1630378.502
"Benzene-1,2,4-triol (Hydroxyquinol)",Phenol,1783044.9,2461031.404,3230289.631,2879831.491,1125103.013,1142017.755,2432367.674,2794338.285,1747894.486,2336525.11,3004394.399,3083796.869,1424191.762,2194667.753,2258616.624,2929251.121,1614478.68,2424207.292,1519744.892,2426012.932,1333965.626,2214838.86,2681858.621,3082338.339,1279902.501,1909999.695,1997325.808,2417181.35,1103288.961,2219245.606,2162284.848,2590152.064,820906.963,1877118.214,875557.7568,2836034.811,352863.5965,2284921.713,2067114.883,1598978.779,1390190.204,2437140.224,2337078.765,2352945.353,1041634.018,1019612.303,1427231.849,1703234.876,590996.7129,2222268.799,2254650.525,2911316.47,1745995.794,2655033.318,1783643.383,2429632.472,1435663.544,2722245.235,2639466.978,3240615.701
Benzoic acid,Benzoic acid,12109586.78,11358557.51,9078937.001,9409272.436,4655762.427,8330924.835,9221958.588,13128209.42,11083983.11,11101421.41,11886123.8,11163743.95,3552142.587,9808679.827,9684266.837,9839866.625,8204266.494,17365454.28,9148397.173,7687045.261,9256663.957,9767972.09,7972656.48,13698351.39,10091208.34,7769179.32,12247553.53,9995085.713,7826140.675,7792932.186,7721603.048,10301854.84,3525067.05,7907405.955,3764119.057,6304743.882,5643818.685,7876902.948,6529803.043,3627145.529,6438736.938,8998319.762,7114747.792,11319439.25,6100062.357,3310208.242,4124027.513,4428879.576,6769520.933,8503138.379,8424611.696,5434008.193,7939201.991,9054863.331,9515015.406,8324597.105,5770367.075,6075347.36,5970444.965,6012390.549
Beta- alanine,Amino acid,7852208.837,9405998.441,9007868.21,7798133.919,6522093.763,10741577.32,8189761.247,9277820.036,11325250.38,8727312.62,8800051.918,8460741.472,11801811.63,12279537.33,11156880.51,12152552.26,12006953.87,9802698.988,6873946.419,10135810.73,9980743.528,9320267.269,9664684.431,8004737.296,9384648.565,8120197.029,8424285.754,7650741.825,10473262.77,10179373.85,9483246.11,7690310.275,4468674.364,11329902.94,1291592.458,9122483.084,10210657.14,8292858.235,8490853.308,4334685.406,10879522.38,10341083.17,7979544.065,7725380.661,7991421.753,5109271.108,3956877.457,2198053.662,10630224.86,10340253.28,10318292.52,5506838.543,12314324.84,9599535.467,9846930.703,8349221.809,13660670.77,12899478.76,12402047.68,12674159.2
Capric acid,Fatty acid,1749839.832,1774551.505,1554543.357,1165339.205,1193413.32,1956996.227,1295125.268,1381376.921,2315003.933,1424245.747,2233376.451,994090.3522,1089318.819,1530677.764,1409620.738,2769197.203,1323165.248,1367741.138,815209.0485,1162423.407,1423625.746,1108326.604,1337168.473,918742.6597,515187.8549,516841.2156,481410.1264,400651.8996,799033.1704,457054.411,556941.2953,2379624.402,612104.0028,1394507.251,410856.8676,911504.3537,529673.7676,220681.1925,611129.1393,2256830.318,503968.9676,461324.1127,602375.2463,460842.7758,810277.9203,426228.1335,1436779.915,390603.9825,373230.926,479003.1035,688450.2753,538999.962,1514344.865,1328062.919,821898.3242,820828.4338,1155696.069,927198.0781,899879.9491,999081.7776
Carbonate ion,Organic Compound,1180577.637,1549788,819422,4943755,9187376.613,14439851.45,5660598.713,8493068,15529908.28,7798162,480661,13439714.64,1993250,9562911,383031.5844,9237488,6320978.01,1268105,1570411.67,2714351.533,2500628.023,1565161.953,1165298,533985,1717272.473,1373296,1396131,1287086,4329928.715,3102950.401,3952472.553,1658095,3777523.087,1648713.988,1738859,980165.1931,4712938.708,1036354,1421213,3265495.13,7949302.296,1247019,2958243.341,2621748.154,1872760,1805771,1477090,1066147.289,11826575.19,6027384,10896653.12,6821646.395,7273297,727075.5955,7442590.072,6218371,2873880,2937821,2880243,753285
Catechol,Phenol,479108.7903,444624.7848,197212.9777,200114.3918,362997.0405,376301.9028,311639.0197,282252.825,549249.8311,312477.2065,203627.8152,436273.1893,144009.2374,280839,193872.5388,179701.804,395235,194841.1004,588378.2967,265644.8232,291262.4163,203311.7395,238719.5421,181572.9223,492700,347841,445283,367958,315564.6904,332073,257029.7609,160278.7246,597245,327647,317821.2493,195488.2196,452105,273624.0576,311962,1194896.014,465539.7143,350767,631726.5827,433885.0854,1488770.121,651242.3404,358525.0664,324901.8224,418474,366187.1334,624308.188,310293.5425,485984,241556.8621,365716,174327.4042,247190.0762,231613.2788,184144.0405,230429.5585
Cellobiose,Sugar/Sugar alcohols,2143516.113,5826867.428,3889954.971,2416394.624,1904274.594,6599073.274,6905935.307,4629991.198,5301514.597,3695070.827,5220912.151,5322024.936,1113317.612,10307454.47,9236557.49,12550901.67,7567426.091,3910953.682,2656245.227,4103471.719,3342379.156,3743778.362,3307469.934,2991249.192,295427245.1,241941337.7,302839383.2,275299872.5,114277468.2,134833548.1,121765295.1,108060229.7,945453.3835,5691819.302,1209906.637,4489710.71,153739923.3,173419821.9,165533498.8,248767771.9,110966463.1,120740520.1,78684713.13,125980107.9,278812187.2,274727356.1,226025450.3,241975634.2,136261919.4,95372108.74,130779049.7,89885639.95,53806269.07,54523987.92,45198083.38,37119756.49,2779591.418,3323235.026,2353290.192,6490963.667
Cinnamic acid,Cinnamic acid,163396.4525,184486.7084,0,0,97150.90202,0,0,0,883402.7566,0,0,0,308941.4773,0,0,0,514033.7589,0,0,0,561008.2981,0,0,0,0,0,0,0,536069.8025,0,0,0,0,427483.6355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,923879.2049,0,0,0,0,0,0,0
Citric acid,Tricarboxylic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,108325.7261,238190.7198,72032.51839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1685941.29,1814801.841,1741188.503,1529650.823
D-arabinose,Sugar/Sugar alcohols,5877268.404,5153578.964,4396435.932,3457918.521,2289369.809,6177517.586,5022668.97,4774884.872,5275299.252,4371599.905,5088728.755,3636778.267,1290039.923,5259844.983,4137444.846,6774924.403,11313369.03,4392644.604,2154011.324,3926367.971,4569639.499,2580190.964,4525707.127,3065380.631,98982634.42,94760370.75,74144831.27,95650709.45,67849771.14,72999699.36,56026983.31,51043860.42,4575188.11,12197573.05,502405.1303,4809925.077,83466351.97,89210795.15,96397614.16,53855617.68,86842892.18,68791674.33,44928209.19,69944494.17,190421653,208874273.5,130609374.5,163884565.2,66489387.09,53076313.45,69713493.06,36389538.69,35483081.28,27926635.42,19398890.03,18156169.3,30773388.43,31902233.11,31287037.27,28760148
D-arabitol,Sugar/Sugar alcohols,14180578.42,30440300.94,24252393.79,13036298.88,18157143.67,28375070.92,31463882.65,19447873.37,50033838,18790228.63,13859656.46,18747240.97,10346087.62,37167348.58,47412139.56,52020058.48,40280814.04,37945151.49,6660657.631,10105160.11,9330078.765,7576230.538,12138430,14815030.49,39469018.23,52216901.57,33506188.71,40785052.53,44361415.93,49825955.06,36028238.6,53676119.12,31310349.61,56098578.14,585775.854,36067704.71,83958548.14,89467263.26,74244614.59,80924925.21,68345427.43,65754073.91,62202857.64,107029076.4,164541921.3,148879472.5,103811857.4,180262470,90667930.82,92182078.32,98746798.86,67412079.23,75808428.91,81054552.29,3547346.416,81406834.01,21050666.11,22191436.42,21613080.2,1399478.99
D-fructose,Sugar/Sugar alcohols,11237235.87,7692307.957,8799129.656,6105960.817,4964789.397,9331775.047,7494895.163,7590715.493,8646237.551,6869482.507,7372660.295,5589595.846,1768791.707,9398219.924,8355725.418,6951259.753,5297578.912,6541866.147,3580988.939,5913467.824,5060106.551,3992732.361,6250903.923,5118771.284,24976906.49,31804318.19,16333899.5,17556534.02,17032549.4,22575261.17,14723231.9,18241994.73,14814227.86,26415259.33,1117749.572,15166671.68,21228214.31,27999976.58,16479829.47,18510492.12,18771319.27,22587248.89,14355712.29,24375573.53,84625743.21,45978496,27708776.67,52263477.27,23702683.52,15780014.92,16143523.9,9480211.33,16456926.82,19059200.24,21853107.16,15222788.76,172566658.3,170447612.6,160579425.7,163654878
D-galactose,Sugar/Sugar alcohols,10501149.86,10372388.93,7707300.273,6146896.496,4507634.292,12382854.16,10091763.4,7311580.603,11996172.49,8555293.899,10674978.26,6758353.374,2214362.886,12285536.53,9605272.293,10755968.68,9736772.162,7810153.832,4226516.057,6438296.014,9539080.163,5755855.776,7766543.907,5208675.6,5000664,32595642.72,29411373.19,27426030.02,22436838.08,23266627.91,17100210.23,16993289.57,3650592,2786300,377062,1623523,25892206.51,39135372.83,23055352.81,19393089.54,23107622.33,19724303.57,12266711.43,19109052.07,133396217.6,169165379.3,108344913.2,130070785.1,34315606.06,14546746.22,18137145.45,10045781.11,12829574.55,14989344.62,12323886.94,8670762.649,11230256,10736656,10358176,10519936
D-gluconic acid,Sugar/Sugar alcohols,326174,497818.349,290819.3329,246640.4831,126383.4272,520000,698214.3549,178511.1673,435212,344470,285724.7108,527341.424,169541.1913,1083947,584473.2932,967508.7552,841504.4681,376920.0954,259360.7788,374073.9045,628981,462995.5114,326766.5321,629884.4698,3027321.305,2594900.325,1675978.343,2374845.557,1441422.702,1787123.053,887036.0006,848188.5033,230564.6092,684516.219,60040.01799,360839.3868,3176759.316,2763459.893,2113328.385,2070292.726,3164161.638,1695637.697,1024893.805,1656891.927,11285857.97,9004666.297,6026656.505,9211858.624,2786210.028,1626314.801,2550165.735,1159765.107,1253279.975,891897.5294,692776.2422,651729.319,3557580.126,3745595.005,3654563.58,3254816.794
D-glucose,Sugar/Sugar alcohols,58035969.39,46586478.82,46590758.58,37921146.23,25723555.57,62488203.61,48528376.84,46740197.78,60434534.16,47253693.71,64147757.34,42716517.81,8408046.52,59301798.86,51057385.1,54503065.39,63361647.91,56890184.42,33290521.97,47746621.49,44810913.23,35745992.22,50022703.46,41148603.44,170623049.5,146574291.5,116735622.7,142143891.5,109584835.4,109492308.8,81655316.92,91160191.63,34599811.54,70364993.26,4535364.975,48442210.7,142105303,150155013.1,140431316,125348859.4,144032802,126408143.9,96035805.51,131469520,235806482.7,229478991.7,205126799,188826104.8,154033433.4,136057025.1,137563453.5,96849201.88,102008986.9,95236791.05,81746113.92,82725492.81,124365415.3,129136485,126026286,118988663.4
DL-3-aminoisobutyric acid,Amino acid,2049911.873,3273135.734,2541111.168,2031501.912,1383794.142,2671414.19,2397838.467,2122243.125,2813849.729,2467581.05,2681968.882,2566427.825,2772080.126,3663676.901,3556568.012,3349062.036,2888034.26,2553932.571,2223984.317,2076224.63,2858401.633,2520596,2203468.118,2107042.83,7853155.109,7823709.019,6489594.384,7666407.722,6610711.13,7159639.913,5797623.524,4364843.407,1236151.102,3272086.987,358232.8945,2950739.254,7443217,7581605.537,8385191.245,5628433.083,9225918.946,5894253.588,4595872.668,5905322.968,21064972,15805904,10644392.99,12542251.56,6423764,4946552.417,7115003,4246882.415,4087419.405,3694684.588,3757511.711,3231831.691,9674317,9934647,9581589.325,8880904
DL-glyceraldehyde,Sugar/Sugar alcohols,998098.7369,1816020.58,1784531.981,1046253.794,312231.5914,1138351.005,828650.5702,1073653.13,1431972.919,1275621.819,1544529.039,423446.0106,961313.0781,1470201.682,1675216.194,1789149.232,624031.2525,1494431.469,3535294.906,849270.6773,813469.5496,713293.7777,1867256.915,1627743.546,813655.8773,1690776.611,1357069.501,1675939.027,603015.883,697804.6336,4140167.832,1102559.67,2799597.708,621482.5515,2248888.629,709474.6648,519420.6408,1917332.953,1348521.98,3017838.043,3225083.6,1717623.191,2931877.982,978349.6842,2153691.358,1581356.732,667657.7085,717156.6754,903831.9113,1486928.69,939465.3158,4341175.367,953629.3896,1413631,1002113.572,1058164.309,1580232.114,1861453.908,1708307.768,1655982.204
D-lyxose,Sugar/Sugar alcohols,3141191.136,2618715.765,2238943.69,1430463.37,1180900.273,2784035.125,2004534.718,2247947.274,3084472.533,2426984.391,2374338.58,2258504.565,565405.4091,2237513.889,2091358.095,2242393.671,3130379.238,2579813.204,1649870.472,2127817.83,2171265.705,1453723.311,2384801.491,1548253.433,95918999,28257799.3,1597982.047,2719191.473,64941069,3351541.841,1909582,2324789.255,1970617.631,4321978.302,242090.1284,2662142.277,3271970.091,6753913.215,3346114.377,7637920.984,83755493,53084287.55,2244632.096,3153004,12447822.19,27275335.71,6230945.47,11064498.37,63497995,28257395.78,3459132,4127363.193,4127057.168,4664319.203,6199375.409,3377121.752,10935397.04,12008310.49,11406565.6,10432343.37
D-lyxosylamine,Sugar/Sugar alcohols,888853.0491,951891.5761,775649.9501,637761.2592,548747.5737,897585.2297,680362.8835,713593.5014,852699.0647,733960.3349,826987.6503,640232.6808,856693.0575,837895.115,465026.3627,485759.0376,658254.3273,880411.8136,479590.2804,621015.3318,1029652.939,826754.2074,679759.6599,686096.7625,335843.1404,553477.2606,399639.1672,308663.7784,811218.0295,685994.2867,731169.3778,616599.2714,416251.8241,892624.331,92746.42596,784741.0867,304770.8435,667446.6838,257763.6508,2153086.573,597091.0115,918706.5547,681363.9133,366276.7517,4957474.221,3445112.965,9082513.63,86264.59,458825.6246,651409.1615,334308.7603,952510.2511,1413247.1,542368.9179,895812.7947,615193.5686,212305,1491742.735,1586146.418,260613.583
D-mannitol,Sugar/Sugar alcohols,75674517.54,78808757.06,73415976.9,69855239.33,61113961.49,85242567.29,82933678.29,73443716.75,85335200.41,78797755.52,79626627.45,77837694.08,39137222.24,99948563.87,81523305.31,95298082.98,83300192.91,82188898.29,69533561.33,78045920.29,76944063.7,74660968.88,76748022.1,75630309.63,76138614.31,87781074.71,80359625.21,85995365.23,80862442.96,92592370.7,75794514.04,75813762.96,54909104.96,76375456.3,16326640.24,67371945.41,81194988.62,91323128,79555773.77,90943315.88,84348565.03,86567851.09,78042864.4,43382978,14502286.21,9998483.161,71239089.6,90724862.43,76737175.19,84207701.38,78127210.44,70005097.57,78998235.11,82134744.34,75564776.14,79256326.89,76754508.47,78577081.03,75991478.62,73371794.3
D-mannose,Sugar/Sugar alcohols,6682946.71,7070032.804,5598027.548,5276201.15,3663824.865,8891517.013,6292915.796,5912479.746,10090978.9,10126853.27,9252035.343,7256554.006,1402000.037,9833767.001,9668741.705,11685511.32,12058970.52,8193115.638,4887472.155,6296579.809,7305019.349,5704294.113,6961319.914,6313282.478,18362214.71,17372164.94,14549986.22,17130563.53,11975929.59,15485937.11,10517153.77,9682283.864,2597682.227,8660494.5,405935.6216,4918731.739,15492434.51,19175095.34,17065475.58,19235560.47,15450682.62,14108306.67,10870578.28,14526751.31,74829478.16,79735155.56,96126900.24,81006100.12,14057076.55,15220729.26,16652061.97,9839986.776,16436433.85,10619938.47,6996405.325,7907674.478,47374280.25,50876351.39,50408907.73,45623173.8
D-melezitose,Sugar/Sugar alcohols,1609547.64,538342.4173,606499.6682,688763.7289,25011.12349,1199185.977,967562.8214,986412.8738,544663.9468,530216.1596,579381.8734,491956.1493,0,1146675.495,653551.1554,1599854.362,544617.9253,349085.1918,326263.4582,473713.6589,419079.9418,45661.46624,770824.4871,463547.098,1502798.327,1925797.826,1094625.751,1218926.606,25784.25513,675426.6766,608323.8017,1519145.625,0,464820.2821,0,482614.059,1977731.825,1798460.77,1314651.955,2801058.38,1223570.032,859954.7025,7825.279995,2259924.018,14949953.24,12006626.66,7578605.566,12669635.42,1950024.728,547944.0948,746654.5634,10205.79725,641032.0894,553520.2478,509715.0927,2254824.469,4898.127667,237961.1843,509936.8413,0
