Metabolite,Compound.Class,Soil 1,Soil 2,Soil 3,Soil 4,Soil 5,Soil 6,Soil 7,Soil 8,Soil 9,Soil 10,Soil 11,Soil 12,Soil 13,Soil 14,Soil 15,Soil 16,Soil 21,Soil 22,Soil 23,Soil 24,Soil 25,Soil 26,Soil 27,Soil 28,Soil 37,Soil 38,Soil 39,Soil 40,Soil 41,Soil 42,Soil 43,Soil 44,Soil 49,Soil 50,Soil 51,Soil 52,Soil 53,Soil 54,Soil 55,Soil 56,Soil 57,Soil 58,Soil 59,Soil 60,Soil 61,Soil 62,Soil 63,Soil 64,Soil 69,Soil 70,Soil 71,Soil 72,Soil 73,Soil 74,Soil 75,Soil 76,Soil Pre r1,Soil Pre r2,Soil Pre r3,Soil Pre r4
Unknown - Carbohydrate (Disaccharide) 016,Unknown - Carbohydrate/Glycoside,1664222.727,1879249.954,1510005.906,1487789.014,646104.0207,2153333.106,3590250.77,1548627.594,2027727.883,1653527.412,2029755.121,1627792.935,191460.1859,1888589.517,1762724.984,2170419.478,2660856.729,1883475.016,1215214,1584746.608,1750637.153,1072918.065,1763388.021,1374840.52,6441023.416,7247324.439,7011071.648,9532767.477,4788710.766,5321582.012,4770367.543,5490553.132,804245.7692,2885290.185,62583.52488,2600432.077,6083771.476,7638719.433,6708753.083,7311742.833,5795674.014,5859670.087,3499710.665,6346007.419,9033735.939,7159984.778,5434885.731,8053542.727,6272073.245,5703217.757,5173998.27,3676592.039,5134903.83,4380574.345,2933196.919,3616549.055,876804.5543,706233.3286,473771.7646,256482.5387
Unknown - Carbohydrate (Disaccharide) 017,Unknown - Carbohydrate/Glycoside,1087997.028,1147969.698,954497.8986,874192.5686,222954.6398,906958.5383,787298.1674,950915.8514,1206449.602,858594.7219,839439.1006,768930.675,0,1080865.998,963233.2502,1143206.694,1198768.328,864767.6676,591231.7664,829832.6724,1118555.933,672863.3681,1176611.391,529944.861,681289.6332,621007.9054,499985.3152,735843.243,632393.5435,805610.0321,506261.6264,536210.0102,100509.1753,1055102.309,0,903595.7755,611492.1017,759509.194,504437.7657,599848.2256,618332.3027,480447.1727,558117.1504,607345.1293,389786.5429,575196.0872,321394.6309,458866.3309,609536.1223,530045.9233,535219.8722,397638.1185,639548.7021,933853.8264,418223.4731,558380.7502,145368.0054,263895.3326,252012.179,257433.807
Unknown - Carbohydrate (Disaccharide) 018,Unknown - Carbohydrate/Glycoside,1059670.248,1087731.916,957440.858,1177322.671,451200.4843,914802.686,1021684.812,817868.7754,528749.1439,995309.7493,1069606.853,1489490.802,701491.345,696799.975,1184094.062,2396936.214,387306.8647,641162.9476,1065581.495,1286538.027,767950.1042,1016811.089,1168435.486,1369629.552,1175332.26,705405.1213,1513232.708,2019523.445,728640.7337,112586.5039,1183547.707,689862.0069,856040.5177,851727.3571,686486.2251,1092023.035,529136.3128,2127377.95,3446174.319,2155402.188,1372513.237,479828.7024,2214095.813,753599.6907,2218194.659,2502087.23,1555152.551,2666497.71,167346.8317,672693.1793,1516271.369,1999600.967,439429.2055,168863.3614,2121274.763,2243543.595,2119448.714,2147776.732,2534384.172,1801046.478
Unknown - Carbohydrate (Monosaccharide) 001,Unknown - Carbohydrate/Glycoside,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13664855.82,37749073.04,14139099.15,62358742.26,0,0,0,0,0,0,0,0,2112767.581,1898604.853,1544156.978,1572410.012
Unknown - Carbohydrate (Monosaccharide) 002,Unknown - Carbohydrate/Glycoside,545725.3992,376274.2973,168032.2325,152576.5324,64554.89505,652082.5437,296477.408,230219.1517,514632.8923,460114.1995,582924.903,232632.4317,32342.64505,258733,173210,206777.8509,409861.1396,413244.0808,220761.4315,168912,187989.7726,192408.0161,209718.3816,383195.2643,3247953,2855370,2166066.265,294539,1027670,1605687,1068991,286942,63113.58937,495911.2212,11771.79727,245884.4265,2277562,303562,2064829,1790231.674,1658970,1664293,130965.675,359276,5572892,5000022.493,2716362,4278057.847,253368,1825896,2348635,58260.42418,158743.3199,285536.417,296281.5899,205917.1706,163773,150571,512860.2632,814736
Unknown - Carbohydrate (Monosaccharide) 003,Unknown - Carbohydrate/Glycoside,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42313499.09,37313515.09,31472329.29,48733967.76,0,0,0,0,0,0,0,0,0,0,0,0
Unknown - Carbohydrate (Monosaccharide) 004,Unknown - Carbohydrate/Glycoside,691996.31,377818,42758098.64,38414111,17118566.18,938629.531,334408,9118953,861753.5446,779322.583,1132261.052,361549,7815235.136,1268865.151,477078,675214.038,969755.3783,795906.2112,13340075,24313646,283732,12784663,274302,608176.5005,806160.0906,887868.896,652902.6428,1218807.851,709981.1882,420755.2338,413195.5823,924946.8737,14765904.86,810729.0786,2904766.676,298062,842531.7215,1223594.235,789139.4,1441715.716,776785.8531,965822.814,9078541,1065738.748,11884762,56228635.22,33584710.72,50535856.77,860722.0209,1056082.947,503560.8189,381100.3376,887815.1247,1045804.835,590242.3704,640047.9038,30163826.53,52681078.29,30902047.9,46720179.31
Unknown - Carbohydrate (Monosaccharide) 005,Unknown - Carbohydrate/Glycoside,11713067.67,10481265.13,10130273.68,8735669.691,4079373.999,9520226.526,7504341.975,8305879.7,14749316.24,11792872.45,10757053.44,9654069.805,704021.3415,18519948.87,17256905.06,15350298.73,13105582.92,13606449.38,6723441.883,9631038.346,9638579.118,10160371.67,12225184.36,9220496.684,17566729.24,16721324.96,13435043.56,16846972.85,12939692.68,19131375.33,11515487.03,12734634.35,4717029.554,18134952.01,273183.289,12415209.25,24715321.65,34021160.93,20554170.81,21677009.33,20586256.13,18731984.64,14057955.58,22613176.1,45360152.64,40735217.77,32287458.87,41892897.88,18390579.28,23053099.75,18453227.95,11335489.13,14107468.86,13157899.15,12542576.5,10127946.46,5860864.409,7453165.854,7111192.942,5283770.482
Unknown - Carbohydrate (Monosaccharide) 006,Unknown - Carbohydrate/Glycoside,2489180.759,2049865.128,1444290.492,1255759.332,680346.1586,2307736.844,1172932.278,1789682.092,3364914.261,2062664.477,2298234.952,1282971.894,2145017.793,1822417.226,1249805.923,1223432.518,3481247.637,2683321.04,1270940.861,1186170.35,2976409.23,2209125.175,2455387.589,1810622.548,3346390.388,2307760.327,1429238.375,1494653.323,2636419.665,1968303.959,859747.2871,1175072.858,506014.583,2437232.723,42331.72153,1490406.434,3187086.505,2487732.759,2048435.9,1508207.392,3430905.631,2382574.052,1773904.878,1120284.868,3368977.84,2155094.772,828031.8774,1117637.927,3250233.198,2196250.397,667140.5825,262022.5533,3561862.912,2014973.159,771999.0839,946822.9896,2295343.161,1555353.246,1258244.058,886796.6341
Unknown - Carbohydrate (Monosaccharide) 007,Unknown - Carbohydrate/Glycoside,517144.7901,869703.9064,178186.1424,936630,160699.4278,420600,485700.4127,468644,439096.1677,201937.14,253291,556239,340543.2016,444527.1631,597777.6649,899728.863,702779.5365,449194.5007,152025.0497,654132.8114,253387,260862,502089,268337.8282,259468,513823.8452,459770,433907,525846.7988,485805.3896,518679.6015,623565.7797,279264.8991,846176.9613,121036,379997.4466,319389,508083,1818738,501573.258,694639.1663,1131185.895,1048283.9,744920,1402295,3489231,564731.0866,6500467,476253,654584,1518622.335,755896.5369,1518501.055,1548899.702,907129.2701,738801.539,342229,361429,302999,865034
