"formula","EMSL_class","Class","Class_detailed","AImod","NOSC","HC","OC","DBE_AI","DBE","DBE_C"
"C41H72O13","[M-H]-","aliphatic","aliphatic",-0.0145,-1.122,1.76,0.32,-7,6,-0.1707
"C38H63O15N1","[M-H]-","aliphatic","aliphatic+N",-0.0169,-0.7895,1.66,0.39,-8,8,-0.2105
"C26H10O24S1","[M+Cl]-","condensed aromatic","condensed aromatic",0.6923,1.5385,0.38,0.92,-3,22,-0.1154
"C39H46O14","[M+Cl]-","unsaturated/lignin","unsaturated/lignin",0.3125,-0.4615,1.18,0.36,3,17,0.0769
"C39H50O16","[M-H]-","unsaturated/lignin","unsaturated/lignin",0.2258,-0.4615,1.28,0.41,-1,15,-0.0256
"C40H54O15","[M-H]-","unsaturated/lignin","unsaturated/lignin",0.2,-0.6,1.35,0.38,-1,14,-0.025
"C41H58O14","[M-H]-","unsaturated/lignin","unsaturated/lignin",0.1765,-0.7317,1.41,0.34,-1,13,-0.0244
"C38H62O16","[M-H]-","aliphatic","aliphatic",0,-0.7895,1.63,0.42,-8,8,-0.2105
"C42H62O13","[M-H]-","unsaturated/lignin","unsaturated/lignin",0.1549,-0.8571,1.48,0.31,-1,12,-0.0238
"C40H66O12","[M+Cl]-","aliphatic","aliphatic",0.0588,-1.05,1.65,0.3,-4,8,-0.1
"C39H66O15","[M-H]-","aliphatic","aliphatic",-0.0159,-0.9231,1.69,0.38,-8,7,-0.2051
"C40H70O14","[M-H]-","aliphatic","aliphatic",-0.0303,-1.05,1.75,0.35,-8,6,-0.2
"C37H61O16N1","[M-H]-","aliphatic","aliphatic+N",-0.0357,-0.7027,1.65,0.43,-9,8,-0.2432
"C39H52O16","[M-H]-","unsaturated/lignin","unsaturated/lignin",0.1935,-0.5128,1.33,0.41,-2,14,-0.0513
"C40H56O15","[M-H]-","unsaturated/lignin","unsaturated/lignin",0.1692,-0.65,1.4,0.38,-2,13,-0.05
"C38H60O14","[M+Cl]-","aliphatic","aliphatic",0.0645,-0.8421,1.58,0.37,-5,9,-0.1316
"C41H60O14","[M-H]-","unsaturated/lignin","unsaturated/lignin",0.1471,-0.7805,1.46,0.34,-2,12,-0.0488
"C39H64O13","[M+Cl]-","aliphatic","aliphatic",0.0462,-0.9744,1.64,0.33,-5,8,-0.1282
"C42H64O13","[M-H]-","aliphatic","aliphatic",0.1268,-0.9048,1.52,0.31,-2,11,-0.0476
"C40H68O12","[M+Cl]-","aliphatic","aliphatic",0.0294,-1.1,1.7,0.3,-5,7,-0.125
"C43H68O12","[M-H]-","aliphatic","aliphatic",0.1081,-1.0233,1.58,0.28,-2,10,-0.0465
"C23H35O26N1","[M+Cl]-","aliphatic","aliphatic+N",-0.7778,0.8696,1.52,1.13,-20,7,-0.8696
"C37H63O16N1","[M-H]-","aliphatic","aliphatic+N",-0.0714,-0.7568,1.7,0.43,-10,7,-0.2703
"C24H14O26N2S1","[M-H]-","unsaturated/lignin","unsaturated/lignin",0.375,1.9167,0.58,1.08,-10,19,-0.4167
"C39H54O16","[M-H]-","unsaturated/lignin","unsaturated/lignin",0.1613,-0.5641,1.38,0.41,-3,13,-0.0769
"C41H62O14","[M-H]-","aliphatic","aliphatic",0.1176,-0.8293,1.51,0.34,-3,11,-0.0732
"C39H66O13","[M+Cl]-","aliphatic","aliphatic",0.0154,-1.0256,1.69,0.33,-6,7,-0.1538
"C42H66O13","[M-H]-","aliphatic","aliphatic",0.0986,-0.9524,1.57,0.31,-3,10,-0.0714
"C39H56O16","[M-H]-","unsaturated/lignin","unsaturated/lignin",0.129,-0.6154,1.44,0.41,-4,12,-0.1026
"C40H60O15","[M-H]-","aliphatic","aliphatic",0.1077,-0.75,1.5,0.38,-4,11,-0.1
"C41H64O14","[M-H]-","aliphatic","aliphatic",0.0882,-0.878,1.56,0.34,-4,10,-0.0976
"C43H68O10","[M+Cl]-","aliphatic","aliphatic",0.1316,-1.1163,1.58,0.23,0,10,0
"C42H68O13","[M-H]-","aliphatic","aliphatic",0.0704,-1,1.62,0.31,-4,9,-0.0952
"C40H42O14","[M+Cl]-","unsaturated/lignin","unsaturated/lignin",0.3939,-0.35,1.05,0.35,6,20,0.15
"C41H46O13","[M+Cl]-","unsaturated/lignin","unsaturated/lignin",0.3623,-0.4878,1.12,0.32,6,19,0.1463
"C42H54O14","[M-H]-","unsaturated/lignin","unsaturated/lignin",0.2571,-0.619,1.29,0.33,2,16,0.0476
"C39H58O16","[M-H]-","unsaturated/lignin","unsaturated/lignin",0.0968,-0.6667,1.49,0.41,-5,11,-0.1282
"C40H62O15","[M-H]-","aliphatic","aliphatic",0.0769,-0.8,1.55,0.38,-5,10,-0.125
"C41H66O14","[M-H]-","aliphatic","aliphatic",0.0588,-0.9268,1.61,0.34,-5,9,-0.122
"C42H70O13","[M-H]-","aliphatic","aliphatic",0.0423,-1.0476,1.67,0.31,-5,8,-0.119
"C42H82O10","[M+Cl]-","aliphatic","aliphatic",-0.0811,-1.4762,1.95,0.24,-8,2,-0.1905
"C39H40O15","[M+Cl]-","unsaturated/lignin","unsaturated/lignin",0.3968,-0.2564,1.03,0.38,5,20,0.1282
"C40H44O14","[M+Cl]-","unsaturated/lignin","unsaturated/lignin",0.3636,-0.4,1.1,0.35,5,19,0.125
"C41H48O13","[M+Cl]-","unsaturated/lignin","unsaturated/lignin",0.3333,-0.5366,1.17,0.32,5,18,0.122
"C39H60O16","[M-H]-","aliphatic","aliphatic",0.0645,-0.7179,1.54,0.41,-6,10,-0.1538
"C40H64O15","[M-H]-","aliphatic","aliphatic",0.0462,-0.85,1.6,0.38,-6,9,-0.15
"C41H68O14","[M-H]-","aliphatic","aliphatic",0.0294,-0.9756,1.66,0.34,-6,8,-0.1463
"C42H72O13","[M-H]-","aliphatic","aliphatic",0.0141,-1.0952,1.71,0.31,-6,7,-0.1429
"C39H42O15","[M+Cl]-","unsaturated/lignin","unsaturated/lignin",0.3651,-0.3077,1.08,0.38,4,19,0.1026
"C40H46O14","[M+Cl]-","unsaturated/lignin","unsaturated/lignin",0.3333,-0.45,1.15,0.35,4,18,0.1
"C41H54O15","[M-H]-","unsaturated/lignin","unsaturated/lignin",0.2239,-0.5854,1.32,0.37,0,15,0
"C38H58O17","[M-H]-","aliphatic","aliphatic",0.0508,-0.6316,1.53,0.45,-7,10,-0.1842
"C42H58O14","[M-H]-","unsaturated/lignin","unsaturated/lignin",0.2,-0.7143,1.38,0.33,0,14,0
"C39H62O16","[M-H]-","aliphatic","aliphatic",0.0323,-0.7692,1.59,0.41,-7,9,-0.1795
"C40H66O15","[M-H]-","aliphatic","aliphatic",0.0154,-0.9,1.65,0.38,-7,8,-0.175
"C41H70O14","[M-H]-","aliphatic","aliphatic",0,-1.0244,1.71,0.34,-7,7,-0.1707
"C39H44O15","[M+Cl]-","unsaturated/lignin","unsaturated/lignin",0.3333,-0.359,1.13,0.38,3,18,0.0769
"C40H48O14","[M+Cl]-","unsaturated/lignin","unsaturated/lignin",0.303,-0.5,1.2,0.35,3,17,0.075
