"formula","EMSL_class","Class","Class_detailed","AImod","NOSC","HC","OC","DBE_AI","DBE","DBE_C"
"C22H26O6","[M+Cl]-","unsaturated/lignin","unsaturated/lignin",0.3684,-0.6364,1.18,0.27,4,10,0.1818
"C14H30O14","[M-H]-","aliphatic","carbohydrate",-1,-0.1429,2.14,1,-14,0,-1
"C25H26O6","[M-H]-","unsaturated/lignin","unsaturated/lignin",0.4545,-0.56,1.04,0.24,7,13,0.28
"C29H26O3","[M-H]-","aromatic","aromatic",0.5636,-0.6897,0.9,0.1,14,17,0.4828
"C20H34O7","[M+Cl]-","aliphatic","aliphatic",0.0303,-1,1.7,0.35,-3,4,-0.15
"C24H34O4","[M+Cl]-","unsaturated/lignin","unsaturated/lignin",0.2727,-1.0833,1.42,0.17,4,8,0.1667
"C23H34O7","[M-H]-","unsaturated/lignin","unsaturated/lignin",0.1795,-0.8696,1.48,0.3,0,7,0
"C20H38O7S1","[M-H]-","aliphatic","aliphatic",-0.1613,-1.1,1.9,0.35,-6,2,-0.3
"C21H38O6","[M+Cl]-","aliphatic","aliphatic",0,-1.2381,1.81,0.29,-3,3,-0.1429
"C24H38O6","[M-H]-","aliphatic","aliphatic",0.1429,-1.0833,1.58,0.25,0,6,0
"C22H42O5","[M+Cl]-","aliphatic","aliphatic",-0.0256,-1.4545,1.91,0.23,-3,2,-0.1364
"C25H42O5","[M-H]-","aliphatic","aliphatic",0.1111,-1.28,1.68,0.2,0,5,0
"C23H46O4","[M+Cl]-","aliphatic","lipid",-0.0476,-1.6522,2,0.17,-3,1,-0.1304
"C22H46O7","[M-H]-","aliphatic","lipid",-0.1892,-1.4545,2.09,0.32,-7,0,-0.3182
"C26H46O4","[M-H]-","aliphatic","aliphatic",0.0833,-1.4615,1.77,0.15,0,4,0
"C24H50O3","[M+Cl]-","aliphatic","lipid",-0.0667,-1.8333,2.08,0.12,-3,0,-0.125
"C27H50O3","[M-H]-","aliphatic","aliphatic",0.0588,-1.6296,1.85,0.11,0,3,0
"C28H54O2","[M-H]-","aliphatic","aliphatic",0.037,-1.7857,1.93,0.07,0,2,0
"C17H30O9N1P1","[M-H]-","aliphatic","aliphatic+N",-0.2381,-0.5294,1.76,0.53,-7,4,-0.4118
"C22H28O6","[M+Cl]-","unsaturated/lignin","unsaturated/lignin",0.3158,-0.7273,1.27,0.27,3,9,0.1364
"C19H32O8","[M+Cl]-","aliphatic","aliphatic",0,-0.8421,1.68,0.42,-4,4,-0.2105
"C23H32O5","[M+Cl]-","unsaturated/lignin","unsaturated/lignin",0.2683,-0.9565,1.39,0.22,3,8,0.1304
"C22H32O8","[M-H]-","unsaturated/lignin","unsaturated/lignin",0.1667,-0.7273,1.45,0.36,-1,7,-0.0455
"C19H37O8P1","[M-H]-","aliphatic","aliphatic",-0.2143,-1.1053,1.95,0.42,-7,2,-0.3684
"C23H36O7","[M-H]-","aliphatic","aliphatic",0.1282,-0.9565,1.57,0.3,-1,6,-0.0435
"C21H40O6","[M+Cl]-","aliphatic","aliphatic",-0.0556,-1.3333,1.9,0.29,-4,2,-0.1905
"C24H40O6","[M-H]-","aliphatic","aliphatic",0.0952,-1.1667,1.67,0.25,-1,5,-0.0417
"C22H44O5","[M+Cl]-","aliphatic","lipid",-0.0769,-1.5455,2,0.23,-4,1,-0.1818
"C25H44O5","[M-H]-","aliphatic","aliphatic",0.0667,-1.36,1.76,0.2,-1,4,-0.04
"C23H48O4","[M+Cl]-","aliphatic","lipid",-0.0952,-1.7391,2.09,0.17,-4,0,-0.1739
"C26H48O4","[M-H]-","aliphatic","aliphatic",0.0417,-1.5385,1.85,0.15,-1,3,-0.0385
"C27H52O3","[M-H]-","aliphatic","aliphatic",0.0196,-1.7037,1.93,0.11,-1,2,-0.037
"C28H56O2","[M-H]-","aliphatic","lipid",0,-1.8571,2,0.07,-1,1,-0.0357
"C22H36O5N1P1","[M-H]-","aliphatic","aliphatic+N",0.0857,-1.0455,1.64,0.23,-1,6,-0.0455
"C22H35O7N1","[M-H]-","aliphatic","aliphatic+N",0.0857,-0.8182,1.59,0.32,-2,6,-0.0909
"C26H51O3N1","[M-H]-","aliphatic","aliphatic+N",-0.0213,-1.6154,1.96,0.12,-2,2,-0.0769
"C20H22O8","[M+Cl]-","unsaturated/lignin","unsaturated/lignin",0.375,-0.3,1.1,0.4,2,10,0.1
"C21H26O7","[M+Cl]-","unsaturated/lignin","unsaturated/lignin",0.3143,-0.5714,1.24,0.33,2,9,0.0952
"C22H30O6","[M+Cl]-","unsaturated/lignin","unsaturated/lignin",0.2632,-0.8182,1.36,0.27,2,8,0.0909
"C19H34O8","[M+Cl]-","aliphatic","aliphatic",-0.0667,-0.9474,1.79,0.42,-5,3,-0.2632
"C23H34O5","[M+Cl]-","unsaturated/lignin","unsaturated/lignin",0.2195,-1.0435,1.48,0.22,2,7,0.087
"C22H34O8","[M-H]-","aliphatic","aliphatic",0.1111,-0.8182,1.55,0.36,-2,6,-0.0909
"C20H38O7","[M+Cl]-","aliphatic","aliphatic",-0.0909,-1.2,1.9,0.35,-5,2,-0.25
"C20H42O7S1","[M-H]-","aliphatic","lipid",-0.2903,-1.3,2.1,0.35,-8,0,-0.4
"C21H42O6","[M+Cl]-","aliphatic","lipid",-0.1111,-1.4286,2,0.29,-5,1,-0.2381
"C27H38O4","[M-H]-","unsaturated/lignin","unsaturated/lignin",0.28,-1.1111,1.41,0.15,5,9,0.1852
"C25H42O3","[M+Cl]-","aliphatic","aliphatic",0.1489,-1.44,1.68,0.12,2,5,0.08
"C24H42O6","[M-H]-","aliphatic","aliphatic",0.0476,-1.25,1.75,0.25,-2,4,-0.0833
"C22H46O5","[M+Cl]-","aliphatic","lipid",-0.1282,-1.6364,2.09,0.23,-5,0,-0.2273
"C28H42O3","[M-H]-","aliphatic","aliphatic",0.2453,-1.2857,1.5,0.11,5,8,0.1786
"C26H46O2","[M+Cl]-","aliphatic","aliphatic",0.12,-1.6154,1.77,0.08,2,4,0.0769
"C25H46O5","[M-H]-","aliphatic","aliphatic",0.0222,-1.44,1.84,0.2,-2,3,-0.08
"C29H46O2","[M-H]-","aliphatic","aliphatic",0.2143,-1.4483,1.59,0.07,5,7,0.1724
"C26H50O4","[M-H]-","aliphatic","aliphatic",0,-1.6154,1.92,0.15,-2,2,-0.0769
"C27H54O3","[M-H]-","aliphatic","lipid",-0.0196,-1.7778,2,0.11,-2,1,-0.0741
"C26H37O4N1","[M-H]-","unsaturated/lignin","unsaturated/lignin",0.2609,-1,1.42,0.15,4,9,0.1538
"C25H49O4N1","[M-H]-","aliphatic","aliphatic+N",-0.0455,-1.52,1.96,0.16,-3,2,-0.12
"C23H24O8","[M-H]-","unsaturated/lignin","unsaturated/lignin",0.4211,-0.3478,1.04,0.35,4,12,0.1739
"C18H32O9","[M+Cl]-","aliphatic","aliphatic",-0.1111,-0.7778,1.78,0.5,-6,3,-0.3333
"C22H32O6","[M+Cl]-","unsaturated/lignin","unsaturated/lignin",0.2105,-0.9091,1.45,0.27,1,7,0.0455
"C21H32O9","[M-H]-","aliphatic","aliphatic",0.0909,-0.6667,1.52,0.43,-3,6,-0.1429
"C23H36O5","[M+Cl]-","aliphatic","aliphatic",0.1707,-1.1304,1.57,0.22,1,6,0.0435
"C26H36O5","[M-H]-","unsaturated/lignin","unsaturated/lignin",0.2766,-1,1.38,0.19,4,9,0.1538
