Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates
461.2311512,23,38,7,0,0,0,0,0,CHO,[M+Cl]-,426.2617499,0.008710594,2
461.239216,22,38,10,0,0,0,0,0,CHO,[M-H]-,462.2464925,0.010757004,2
461.2544802,26,38,7,0,0,0,0,0,CHO,[M-H]-,462.2617567,-0.006726502,2
461.2651343,28,42,1,0,0,1,0,0,CHOS,[M+Cl]-,426.295733,-0.225932012,1
461.2675174,24,42,6,0,0,0,0,0,CHO,[M+Cl]-,426.2981161,0.053835248,1
461.2756054,23,42,9,0,0,0,0,0,CHO,[M-H]-,462.2828819,0.0023403,1
461.2908744,27,42,6,0,0,0,0,0,CHO,[M-H]-,462.2981508,-0.025410624,1
461.3039499,25,46,5,0,0,0,0,0,CHO,[M+Cl]-,426.3345486,-0.05638306,1
461.3119891,24,46,8,0,0,0,0,0,CHO,[M-H]-,462.3192656,0.006225556,1
461.327297,28,46,5,0,0,0,0,0,CHO,[M-H]-,462.3345735,-0.105822805,1
461.3403166,26,50,4,0,0,0,0,0,CHO,[M+Cl]-,426.3709153,-0.012279154,1
461.3483656,25,50,7,0,0,0,0,0,CHO,[M-H]-,462.3556421,0.025729489,1
461.4130986,28,58,2,0,0,0,0,0,CHO,[M+Cl]-,426.4436974,-0.038094853,1
462.1404288,22,25,10,1,0,0,0,0,CHON,[M-H]-,463.1477052,0.303966695,4
462.1899591,21,33,8,1,0,0,0,0,CHON,[M+Cl]-,427.2205578,0.138583279,2
462.99752,19,12,12,0,0,1,0,0,CHOS,[M-H]-,464.0047965,0.323374811,5
462.9987933,31,8,1,0,0,1,0,0,CHOS,[M+Cl]-,428.0293921,0.452106468,2
463.0000847,15,12,17,0,0,0,0,0,CHO,[M-H]-,464.0073611,0.189249685,6
463.0777345,26,20,4,0,0,1,0,0,CHOS,[M+Cl]-,428.1083332,-0.241511028,6
463.0801154,22,20,9,0,0,0,0,0,CHO,[M+Cl]-,428.1107141,0.042260527,2
463.0882138,21,20,12,0,0,0,0,0,CHO,[M-H]-,464.0954903,-0.030573347,6
463.1012431,19,24,11,0,0,0,0,0,CHO,[M+Cl]-,428.1318418,0.046313425,4
463.1141538,27,24,3,0,0,1,0,0,CHOS,[M+Cl]-,428.1447525,-0.320475531,6
463.1165259,23,24,8,0,0,0,0,0,CHO,[M+Cl]-,428.1471246,-0.015931744,3
463.1245931,22,24,11,0,0,0,0,0,CHO,[M-H]-,464.1318696,-0.017132636,5
463.1317861,27,24,5,0,0,0,0,0,CHO,[M+Cl]-,428.1623848,-0.025559198,3
463.1376426,20,28,10,0,0,0,0,0,CHO,[M+Cl]-,428.1682413,0.013580197,3
463.1432829,23,28,8,0,0,1,0,0,CHOS,[M-H]-,464.1505594,-0.152598967,4
463.1529096,24,28,7,0,0,0,0,0,CHO,[M+Cl]-,428.1835083,-0.011748983,3
463.1609746,23,28,10,0,0,0,0,0,CHO,[M-H]-,464.1682511,-0.008514788,4
463.1740217,21,32,9,0,0,0,0,0,CHO,[M+Cl]-,428.2046204,0.028562533,2
463.1892857,25,32,6,0,0,0,0,0,CHO,[M+Cl]-,428.2198845,0.010061965,1
463.1950831,18,36,11,0,0,0,0,0,CHO,[M+Cl]-,428.2256818,0.187180291,3
463.197359,24,32,9,0,0,0,0,0,CHO,[M-H]-,464.2046355,-0.006127824,2
463.2104011,22,36,8,0,0,0,0,0,CHO,[M+Cl]-,428.2409998,0.042889959,2
463.2184711,21,36,11,0,0,0,0,0,CHO,[M-H]-,464.2257476,0.031048055,3
463.233745,25,36,8,0,0,0,0,0,CHO,[M-H]-,464.2410214,-0.00707857,2
463.2444963,27,40,2,0,0,1,0,0,CHOS,[M+Cl]-,428.275095,-0.452454801,2
463.2467905,23,40,7,0,0,0,0,0,CHO,[M+Cl]-,428.2773892,0.033668686,1
463.254843,22,40,10,0,0,0,0,0,CHO,[M-H]-,464.2621195,0.060377488,2
463.262168,27,40,4,0,0,0,0,0,CHO,[M+Cl]-,428.2927667,-0.249692263,1
463.270152,26,40,7,0,0,0,0,0,CHO,[M-H]-,464.2774285,-0.053476646,2
463.2831814,24,44,6,0,0,0,0,0,CHO,[M+Cl]-,428.3137801,0.021052756,1
463.2912405,23,44,9,0,0,0,0,0,CHO,[M-H]-,464.298517,0.034583077,1
