SampleID,Temp,Treatment
Weint_071_lip_30Mar21_Magnolia_Infuse_300SA_p05_012_01_2485,-2,0.4
Weint_072_lip_30Mar21_Magnolia_Infuse_300SA_p05_020_01_2493,-2,0.4
Weint_073_lip_30Mar21_Magnolia_Infuse_300SA_p05_035_01_2424,-2,0.2
Weint_074_lip_30Mar21_Magnolia_Infuse_300SA_p05_004_01_2447,-2,0.2
Weint_075_lip_30Mar21_Magnolia_Infuse_300SA_p05_007_01_2472,-2,0.2
Weint_076_lip_30Mar21_Magnolia_Infuse_300SA_p05_034_01_2507,-2,0.2
Weint_077_lip_30Mar21_Magnolia_Infuse_300SA_p05_046_01_2435,-2,2
Weint_078_lip_30Mar21_Magnolia_Infuse_300SA_p05_007_01_2457,-2,2
Weint_079_lip_30Mar21_Magnolia_Infuse_300SA_p05_009_01_2482,-2,2
Weint_080_lip_30Mar21_Magnolia_Infuse_300SA_p05_025_01_2498,-2,2
Weint_pre_r1_lip_30Mar21_Magnolia_Infuse_300SA_p05_052_01_2441,pre,pre
Weint_pre_r2_lip_30Mar21_Magnolia_Infuse_300SA_p05_007_01_2465,pre,pre
Weint_pre_r3_lip_30Mar21_Magnolia_Infuse_300SA_p05_007_01_2473,pre,pre
Weint_pre_r4_lip_30Mar21_Magnolia_Infuse_300SA_p05_032_01_2505,pre,pre
