Mass,Weint_070_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_1987,Weint_071_met_SPE_23Dec20_Fir_Infuse_300SA_p1_013_01_2018,Weint_072_met_SPE_23Dec20_Fir_Infuse_300SA_p1_040_01_2045,Weint_073_met_SPE_23Dec20_Fir_Infuse_300SA_p1_038_01_1959,Weint_074_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_1996,Weint_075_met_SPE_23Dec20_Fir_Infuse_300SA_p1_015_01_2020,Weint_076_met_SPE_23Dec20_Fir_Infuse_300SA_p1_022_01_2027,Weint_077_met_SPE_23Dec20_Fir_Infuse_300SA_p1_037_01_1958,Weint_078_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_1988,Weint_079_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_2005,Weint_080_met_SPE_23Dec20_Fir_Infuse_300SA_p1_030_01_2035,Weint_pre_r1_met_SPE_23Dec20_Fir_Infuse_300SA_p1_052_01_1973,Weint_pre_r2_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_1992,Weint_pre_r3_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_2003,Weint_pre_r4_met_SPE_23Dec20_Fir_Infuse_300SA_p1_039_01_2044,Weint_001_met_SPE_23Dec20_Fir_Infuse_300SA_p1_040_01_1961,Weint_002_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_1989,Weint_003_met_SPE_23Dec20_Fir_Infuse_300SA_p1_016_01_2021,Weint_004_met_SPE_23Dec20_Fir_Infuse_300SA_p1_026_01_2031,Weint_005_met_SPE_23Dec20_Fir_Infuse_300SA_p1_032_01_1953,Weint_006_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_1982,Weint_007_met_SPE_23Dec20_Fir_Infuse_300SA_p1_010_01_2015,Weint_008_met_SPE_23Dec20_Fir_Infuse_300SA_p1_029_01_2034,Weint_009_met_SPE_23Dec20_Fir_Infuse_300SA_p1_035_01_1956,Weint_010_met_SPE_23Dec20_Fir_Infuse_300SA_p1_005_01_1980,Weint_011_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_2012,Weint_012_met_SPE_23Dec20_Fir_Infuse_300SA_p1_035_01_2040,Weint_013_met_SPE_23Dec20_Fir_Infuse_300SA_p1_042_01_1963,Weint_014_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_1983,Weint_015_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_2001,Weint_016_met_SPE_23Dec20_Fir_Infuse_300SA_p1_038_01_2043,Weint_017_met_SPE_23Dec20_Fir_Infuse_300SA_p1_039_01_1960,Weint_018_met_SPE_23Dec20_Fir_Infuse_300SA_p1_004_01_1979,Weint_019_met_SPE_23Dec20_Fir_Infuse_300SA_p1_009_01_2014,Weint_020_met_SPE_23Dec20_Fir_Infuse_300SA_p1_033_01_2038,Weint_021_met_SPE_23Dec20_Fir_Infuse_300SA_p1_047_01_1968,Weint_022_met_SPE_23Dec20_Fir_Infuse_300SA_p1_002_01_1977,Weint_023_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_2006,Weint_024_met_SPE_23Dec20_Fir_Infuse_300SA_p1_027_01_2032,Weint_025_met_SPE_23Dec20_Fir_Infuse_300SA_p1_043_01_1964,Weint_026_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_1995,Weint_027_met_SPE_23Dec20_Fir_Infuse_300SA_p1_014_01_2019,Weint_028_met_SPE_23Dec20_Fir_Infuse_300SA_p1_028_01_2033,Weint_029_met_SPE_23Dec20_Fir_Infuse_300SA_p1_041_01_1962,Weint_030_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_1990,Weint_031_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_2004,Weint_032_met_SPE_23Dec20_Fir_Infuse_300SA_p1_024_01_2029,Weint_033_met_SPE_23Dec20_Fir_Infuse_300SA_p1_051_01_1972,Weint_034_met_SPE_23Dec20_Fir_Infuse_300SA_p1_003_01_1978,Weint_035_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_2011,Weint_036_met_SPE_23Dec20_Fir_Infuse_300SA_p1_031_01_2036,Weint_037_met_SPE_23Dec20_Fir_Infuse_300SA_p1_049_01_1970,Weint_038_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_1993,Weint_039_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_2010,Weint_040_met_SPE_23Dec20_Fir_Infuse_300SA_p1_020_01_2025,Weint_041_met_SPE_23Dec20_Fir_Infuse_300SA_p1_036_01_1957,Weint_042_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_1986,Weint_043_met_SPE_23Dec20_Fir_Infuse_300SA_p1_011_01_2016,Weint_044_met_SPE_23Dec20_Fir_Infuse_300SA_p1_023_01_2028,Weint_045_met_SPE_23Dec20_Fir_Infuse_300SA_p1_044_01_1965,Weint_046_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_1991,Weint_047_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_2009,Weint_048_met_SPE_23Dec20_Fir_Infuse_300SA_p1_034_01_2039,Weint_049_met_SPE_23Dec20_Fir_Infuse_300SA_p1_045_01_1966,Weint_050_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_1984,Weint_051_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_2008,Weint_052_met_SPE_23Dec20_Fir_Infuse_300SA_p1_032_01_2037,Weint_053_met_SPE_23Dec20_Fir_Infuse_300SA_p1_033_01_1954,Weint_054_met_SPE_23Dec20_Fir_Infuse_300SA_p1_006_01_1981,Weint_055_met_SPE_23Dec20_Fir_Infuse_300SA_p1_008_01_2013,Weint_056_met_SPE_23Dec20_Fir_Infuse_300SA_p1_037_01_2042,Weint_057_met_SPE_23Dec20_Fir_Infuse_300SA_p1_050_01_1971,Weint_058_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_1994,Weint_059_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_2002,Weint_060_met_SPE_23Dec20_Fir_Infuse_300SA_p1_036_01_2041,Weint_061_met_SPE_23Dec20_Fir_Infuse_300SA_p1_034_01_1955,Weint_062_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_1985,Weint_063_met_SPE_23Dec20_Fir_Infuse_300SA_p1_012_01_2017,Weint_064_met_SPE_23Dec20_Fir_Infuse_300SA_p1_025_01_2030,Weint_065_met_SPE_23Dec20_Fir_Infuse_300SA_p1_046_01_1967,Weint_066_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_1997,Weint_067_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_2007,Weint_068_met_SPE_23Dec20_Fir_Infuse_300SA_p1_021_01_2026,Weint_069_met_SPE_23Dec20_Fir_Infuse_300SA_p1_048_01_1969
359.2016977,0,0,5512013,0,3550645.3,0,0,6472734.5,4916571.5,0,3821169.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3707757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
359.2075119,81897952,84452136,84091728,58895260,66271160,37578588,75693472,69549088,118368608,73021808,70692472,22793848,24885994,13365816,29923970,133940168,107833544,82862200,84023552,53762720,229420224,97772120,73504720,94072672,80611968,52579252,68215064,35483560,96625896,42317212,133831720,105947264,73464584,83208368,97128328,179939040,53331068,68556856,57513412,72150024,63491940,54334312,51005776,68396840,86781768,54146128,42339092,104015288,65075060,92316800,81809704,71049856,109456368,55445116,12233408,80439336,86355920,63782716,60851624,77507752,82187224,70460968,75756272,106473984,68669232,59314100,99389744,71372144,128463440,91100720,72195336,69604320,87715208,59966228,109261440,107624424,85469168,180925328,68248440,81833408,107030496,64345708,19283884,150742352
359.235842,0,0,0,0,0,0,0,0,0,0,0,4205186,4116211.8,0,5041806,5951452,6057171.5,5710982.5,6422801.5,0,0,0,5018592.5,5335921,4202126,4878275,5868838.5,6781877,0,3309988.8,0,5193865,4372240.5,4598979,0,0,4225160.5,4210248,4566483,0,4024177.8,0,3802461.3,0,5039957.5,4607069.5,0,0,0,0,3889461.8,3830924,0,4596360.5,0,4269108.5,0,0,4294070.5,4309177.5,4843495.5,0,0,0,0,0,0,0,0,4902464,0,0,3855259,4073248,0,0,4654079.5,0,0,5022157.5,4862955.5,3940473.8,0,0
359.2439132,23095790,21693240,21173092,16481195,19580872,13584238,23633328,16624687,25336174,22165882,19263110,9780868,9700087,5586497,10562194,45745120,36432088,29884554,32487702,20191920,66202832,33276522,30586852,34205556,29129362,21380038,23777578,12861368,32990460,16147880,46668860,32088204,25811732,33605832,32821144,53741300,20780172,26429516,25834966,28228636,25382774,22053754,19200354,24274750,29613914,20976738,17529636,25564620,18478978,24667286,23736634,20906640,29830146,17184396,3904201,21616696,21807078,17076044,19797434,23686334,23143404,20612666,21287678,27507216,20918078,18513862,27054402,19529088,37352040,22619716,22412574,17159154,23526816,19452708,26296982,27842560,22448132,45831080,19735434,21712338,24610800,20772478,6266805.5,22848868
359.2802855,5546497.5,5337929,5632887,6131639.5,5460952.5,0,6235583,0,0,5459336.5,5487257,0,0,0,0,9599990,7471340,7899294,6372647.5,4682432.5,15547616,6883962,6314997.5,7304073.5,6952610.5,5129176.5,7713085,0,7709970.5,4389301,10249295,7942301,5455649,8087772,7212969,10929925,5076122.5,4726881,6832617,6835248.5,5892999.5,5860237.5,4381043,5838672,5192558,5875828.5,0,5372383,4486032.5,6857896.5,6693195,5132962.5,7963667.5,0,0,4618315.5,4621304,4275037,5691851,4105424.8,4606971.5,4073033.5,5139213.5,6458914,5518157.5,4136921.3,7481683.5,4666768,10449528,6049364.5,5418288,4938755.5,6859188,0,6346411.5,6726675.5,5607446,11807677,4860828.5,5420518,6561792.5,4871825,0,5800310.5
359.3086471,0,0,0,0,0,0,0,0,0,0,0,4853401.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360.0909882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4122093.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360.1219413,0,0,0,0,0,0,0,0,0,0,0,11335582,15117377,7574308.5,11836415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
361.0484755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3952871.5
361.0565104,15764880,15570590,16156461,11642418,18062070,7258876,13416562,18484972,27516020,13941800,35541524,0,0,0,0,16533501,21171380,13833285,12633231,9393667,17141832,18134440,7703346.5,17961806,11023835,9733932,11152562,6615752.5,15853937,7147577.5,20590556,17609662,11367850,12053697,16880320,23542382,9031515,7836718,10113374,11145202,12075757,9547538,9319643,13349599,14506817,9140239,8590910,15862095,12939857,17537092,15404182,15187492,17239912,9314721,0,13614039,22852466,11127427,9175300,14663779,14139171,16505176,19236380,25914742,10725914,12448654,11486354,18194592,17753584,13603194,11913396,13588283,16605581,7613910,19916438,24583126,16616331,21768074,14083892,18559414,17423156,11549220,0,24565996
361.069565,21482902,19490468,20608820,14794294,13509372,14150402,12796023,15564528,23792762,14556205,21578268,39301320,45850020,26670104,46235012,38258692,28323002,22467660,26021014,15470089,27127886,26994094,21478200,28042068,16416225,17923890,19358904,4784846,27142520,8677438,25812962,23401412,13936047,21724360,15139526,21277302,11278176,14937141,17414500,16732153,17171186,18675480,16112865,17652454,21787464,14692374,13213252,24131926,13183574,20834378,17089692,20112938,36564848,15886758,0,18820062,22066040,13902473,19130634,14221418,16979754,18110814,17765920,32730492,19878430,18400148,19805336,19632294,24573430,17631616,18510010,16095041,23384468,16373211,22886044,22375390,19319698,24835984,22738746,18244030,19565370,13558315,5174636,23275762
361.0717427,6641048,6505125,8632117,5161527,9429757,4693763.5,5834872.5,6118129,9477243,7736366,8039965.5,0,0,0,0,9005062,6823100,6372429.5,7758998.5,4687370.5,11876430,12883376,4156217.5,6331221.5,7863777.5,4571955,4658362,0,9537914,0,8046563,7093189.5,5036463.5,6989001,6165191,16947830,3442529.3,4922422.5,4486502,8785915,4672244,4401946,4873442,6239975,6944585.5,0,0,5521750,4444759,6229067.5,6484125.5,6140459.5,10243952,0,0,5026782,9239418,4351626,0,4541547,5874474,6270302,6954530,16498046,5120544,4036502,6801561.5,0,9741816,8223105,5145788,5197634,5244309,3980763.8,8507038,10163166,4096914.8,9099154,5325627.5,6962622.5,14940987,5929516,0,36473076
