Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates
941.7817112,59,106,8,0,0,0,0,0,CHO,[M-H]-,942.7889877,-0.230474949,-1
941.8044298,0,0,0,0,0,0,0,0,,,942.8117063,0,-1
941.8184768,0,0,0,0,0,0,0,0,,,942.8257533,0,-1
942.20512,0,0,0,0,0,0,0,0,,,943.2123964,0,-1
942.2226472,0,0,0,0,0,0,0,0,,,943.2299236,0,-1
942.6914038,0,0,0,0,0,0,0,0,,,943.6986803,0,-1
942.7098542,0,0,0,0,0,0,0,0,,,943.7171307,0,-1
942.7440818,0,0,0,0,0,0,0,0,,,943.7513583,0,-1
942.7708572,0,0,0,0,0,0,0,0,,,943.7781337,0,-1
942.7804665,0,0,0,0,0,0,0,0,,,943.787743,0,-1
942.8080681,0,0,0,0,0,0,0,0,,,943.8153445,0,-1
942.8169349,0,0,0,0,0,0,0,0,,,943.8242113,0,-1
943.2023965,0,0,0,0,0,0,0,0,,,944.209673,0,-1
943.6228304,0,0,0,0,0,0,0,0,,,944.6301068,0,-1
943.6881459,56,96,11,0,0,0,0,0,CHO,[M-H]-,944.6954224,-0.167702116,-1
943.7037156,0,0,0,0,0,0,0,0,,,944.7109921,0,-1
943.7164576,58,100,7,0,0,0,0,0,CHO,[M+Cl]-,908.7470563,-0.165871125,-1
943.72456,57,100,10,0,0,0,0,0,CHO,[M-H]-,944.7318365,-0.197967931,-1
943.7394593,61,100,7,0,0,0,0,0,CHO,[M-H]-,944.7467358,0.179735839,-1
943.7473919,0,0,0,0,0,0,0,0,,,944.7546684,0,-1
943.76092,58,104,9,0,0,0,0,0,CHO,[M-H]-,944.7681965,-0.170968697,-1
943.7837788,0,0,0,0,0,0,0,0,,,944.7910553,0,-1
943.7973298,59,108,8,0,0,0,0,0,CHO,[M-H]-,944.8046063,-0.196680856,-1
943.820187,0,0,0,0,0,0,0,0,,,944.8274635,0,-1
943.8339574,0,0,0,0,0,0,0,0,,,944.8412339,0,-1
944.2020095,0,0,0,0,0,0,0,0,,,945.2092859,0,-1
944.6872338,0,0,0,0,0,0,0,0,,,945.6945103,0,-1
944.7071101,0,0,0,0,0,0,0,0,,,945.7143866,0,-1
944.7221329,0,0,0,0,0,0,0,0,,,945.7294094,0,-1
944.7249845,0,0,0,0,0,0,0,0,,,945.732261,0,-1
944.7428234,60,100,7,0,1,0,0,0,CHO,[M-H]-,945.7500999,0.169696415,-1
944.7595178,0,0,0,0,0,0,0,0,,,945.7667943,0,-1
944.7599691,0,0,0,0,0,0,0,0,,,945.7672456,0,-1
944.7868536,0,0,0,0,0,0,0,0,,,945.79413,0,-1
944.7995414,0,0,0,0,0,0,0,0,,,945.8068178,0,-1
945.1990806,0,0,0,0,0,0,0,0,,,946.2063571,0,-1
945.5738244,0,0,0,0,0,0,0,0,,,946.5811008,0,-1
945.6380557,0,0,0,0,0,0,0,0,,,946.6453321,0,-1
945.6461247,0,0,0,0,0,0,0,0,,,946.6534012,0,-1
945.6832267,0,0,0,0,0,0,0,0,,,946.6905032,0,-1
945.7039939,0,0,0,0,0,0,0,0,,,946.7112704,0,-1
945.7195527,0,0,0,0,0,0,0,0,,,946.7268292,0,-1
945.7400317,57,102,10,0,0,0,0,0,CHO,[M-H]-,946.7473082,-0.009157914,-1
945.7629673,0,0,0,0,0,0,0,0,,,946.7702438,0,-1
945.7763584,58,106,9,0,0,0,0,0,CHO,[M-H]-,946.7836349,0.052948155,-1
945.8496197,0,0,0,0,0,0,0,0,,,946.8568962,0,-1
946.1988888,0,0,0,0,0,0,0,0,,,947.2061652,0,-1
946.7026838,0,0,0,0,0,0,0,0,,,947.7099603,0,-1
946.7398073,0,0,0,0,0,0,0,0,,,947.7470837,0,-1
946.7737717,0,0,0,0,0,0,0,0,,,947.7810481,0,-1
946.8811914,0,0,0,0,0,0,0,0,,,947.8884678,0,-1
947.516442,0,0,0,0,0,0,0,0,,,948.5237184,0,-1
947.646748,54,92,13,0,0,0,0,0,CHO,[M-H]-,948.6540245,-0.243949551,-1
947.6623212,0,0,0,0,0,0,0,0,,,948.6695977,0,-1
947.682604,55,96,12,0,0,0,0,0,CHO,[M-H]-,948.6898805,0.314198447,-1
947.7031433,0,0,0,0,0,0,0,0,,,948.7104198,0,-1
947.7061439,0,0,0,0,0,0,0,0,,,948.7134204,0,-1
947.719133,56,100,11,0,0,0,0,0,CHO,[M-H]-,948.7264095,0.162931469,-1
947.755877,57,104,10,0,0,0,0,0,CHO,[M-H]-,948.7631535,-0.214934726,-1
947.7778143,0,0,0,0,0,0,0,0,,,948.7850908,0,-1
947.792323,58,108,9,0,0,0,0,0,CHO,[M-H]-,948.7995995,-0.278690716,-1
947.8075105,62,108,6,0,0,0,0,0,CHO,[M-H]-,948.814787,-0.206352553,-1
947.829287,0,0,0,0,0,0,0,0,,,948.8365635,0,-1
947.865473,0,0,0,0,0,0,0,0,,,948.8727495,0,-1
947.9020085,0,0,0,0,0,0,0,0,,,948.909285,0,-1
948.5197301,0,0,0,0,0,0,0,0,,,949.5270066,0,-1
948.6653709,0,0,0,0,0,0,0,0,,,949.6726473,0,-1
